id_equipo,tipo,estado_operativo,disponibilidad
EQ-001,Escudo Antidisturbios Policarbonato,Óptimo,Disponible en Bodega
EQ-002,Casco Táctico con Visor,Bueno,Asignado a Patrulla
EQ-003,Chaleco Antibalas Nivel III,Requiere Mantenimiento,En Taller
EQ-004,Bastón PR-24 (Tolete),Óptimo,Disponible en Bodega
EQ-005,Máscara Antigás,Bueno,Asignado a Patrulla
EQ-006,Radio de Comunicación Tetra,Óptimo,Disponible en Bodega
Chaleco 5.56 - 001,Chalecho antibalas para fusil,Óptimo,Disponible en Bodega
Chaleco 5.56 - 001,Chalecho antibalas para fusil 5.56,Óptimo,Disponible en Bodega
007,Pistola eléctrica,Requiere Mantenimiento,En Taller
007,Pistola eléctrica (spark),Requiere Mantenimiento,En Taller
EQ-008,Guantes Tácticos,Óptimo,Disponible en Bodega
007,Pistola eléctrica (spark),Inoperativo,En Taller
EQ-009,Pistola,Inoperativo,En Taller
EQ-009,Pistola,Óptimo,Disponible en Bodega
EQ-002,Casco Táctico con Visor transparente,Óptimo,Disponible en Bodega
EQ-010,Motocicleta,Requiere Mantenimiento,En Taller
EQ-010,Motocicleta,Óptimo,Disponible en Bodega
